episode,reward,opponent
288,-5.548827591191768,agent_trained_vs_defense_bot
289,-20.64071568470783,def_bot
290,-14.813908222727783,agent_trained_vs_strong_bot
291,-11.566102825667745,agent4
292,-9.201247876994053,weak_bot
293,-15.837012839640657,agent_trained_vs_league2
294,7.085847523419162,agent_trained_vs_defense_bot
295,7.667534019503599,agent4
296,-9.107010716726156,def_bot
297,-20.852474698206088,atk_bot
298,0.0,agent_trained_vs_defense_bot
299,-28.67890818200073,agent4
300,0.0,agent_trained_vs_strong_bot
301,8.859804806709022,agent3
302,0.0,agent_trained_vs_attack_bot
303,8.84877450656848,agent5_shit_agent
304,0.0,agent_trained_vs_attack_bot
305,-5.169841873182929,agent_trained_vs_attack_bot
306,-11.079494431003457,prev_self
307,-11.127516071223011,weak_bot
308,-3.3329393545167196,agent_trained_vs_league1
309,-7.236842238978492,agent_trained_vs_strong_bot
310,-13.826773166879097,agent4
311,-11.52674827804777,strong_bot
312,8.973232656970913,strong_bot
313,0.0,agent_trained_vs_defense_bot
314,5.511682849262307,def_bot
315,-11.926095191288736,agent_trained_vs_attack_bot
316,-11.268188276576799,agent2
317,-11.737260026948222,agent2
318,-10.605564902467355,agent3
319,7.569857853994016,agent4
320,-13.234106151783838,weak_bot
321,-10.105062090730462,agent_trained_vs_defense_bot
322,-17.047752603621472,strong_bot
323,8.803759613751895,prev_self
324,8.559108677333741,def_bot
325,-11.37614781952524,weak_bot
326,-11.958688417041154,agent2
327,-13.917534990955946,atk_bot
328,-11.949490558817443,agent_trained_vs_league1
329,-14.453316090396353,agent3
330,-15.580767478444296,agent3
331,-19.686403976451032,def_bot
332,-10.773990593474107,agent_trained_vs_league2
333,-14.014836324995336,agent_trained_vs_strong_bot
334,-10.796548870143651,agent_trained_vs_league1
335,9.422722937020005,agent5_shit_agent
336,-11.682591589842628,atk_bot
337,-13.654648248228941,weak_bot
338,-10.65667382071978,agent3
339,8.128376772574992,agent_trained_vs_league1
340,-10.9008069263114,agent3
341,9.218399528276938,agent5_shit_agent
342,-12.592239775653317,agent_trained_vs_league2
343,-10.482358801869202,weak_bot
344,5.714305396969385,agent3
345,-8.02931851477627,agent3
346,-13.187412497622134,agent2
347,-12.642402736498758,agent_trained_vs_league2
348,-15.4770256635117,agent3
349,0.0,agent_trained_vs_attack_bot
350,7.7907545086979315,agent5_shit_agent
351,-14.415571115721965,prev_self
352,-19.079949662840704,agent_trained_vs_league2
353,0.0,agent_trained_vs_defense_bot
354,-15.476450456408354,agent_trained_vs_league2
355,-15.00692574330588,strong_bot
356,-10.914639943667078,prev_self
357,-19.900846687147705,def_bot
358,9.517221707799697,prev_self
359,-12.08736159889124,atk_bot
360,-25.537595378692227,weak_bot
361,-17.53596364566602,strong_bot
362,-11.727830520354733,strong_bot
363,9.092663692934806,agent_trained_vs_defense_bot
364,-23.020473504335264,prev_self
365,9.89658496228632,agent2
366,-12.873418220348096,strong_bot
367,-16.537613347911037,strong_bot
368,-7.204953388362963,atk_bot
369,-11.148593409988157,weak_bot
370,9.39747037981331,agent_trained_vs_league1
371,0.0,agent5_shit_agent
372,-2.9847017079695117,def_bot
373,-9.58865233779088,agent4
374,-12.847212967926096,def_bot
375,-10.827940489553912,agent_trained_vs_league1
376,-12.175054751608267,agent_trained_vs_league2
377,-11.29509085773319,agent_trained_vs_defense_bot
378,-12.20651888871771,agent_trained_vs_defense_bot
379,-1.79128426725763,strong_bot
380,-5.402107459387751,strong_bot
381,0.0,agent4
382,-12.863855571367242,agent_trained_vs_league2
383,-11.706336266787536,agent4
384,-8.16591923511674,strong_bot
385,-17.429993176664397,prev_self
386,-10.711423533136935,agent3
387,-18.645936235037976,agent_trained_vs_defense_bot
388,0.0,agent_trained_vs_strong_bot
389,-23.08703069730597,agent4
390,-13.818566968974787,agent4
391,-0.009042148712822495,agent_trained_vs_attack_bot
392,0.0,agent_trained_vs_defense_bot
393,-19.421273137969752,agent4
394,9.081951752517881,atk_bot
395,4.115523361990256,agent3
396,-16.487413753805374,atk_bot
397,-15.339303589246548,agent3
398,-0.6531548869737378,prev_self
399,-13.315979298773218,atk_bot
400,-14.913060831558465,agent_trained_vs_strong_bot
401,-13.888529853490724,agent_trained_vs_attack_bot
402,-16.531533947682256,agent_trained_vs_defense_bot
403,-7.600274177555571,agent_trained_vs_defense_bot
404,-14.783337979537208,atk_bot
405,-3.0062972208791,prev_self
406,-13.63966842310263,agent_trained_vs_defense_bot
407,-22.42553935044983,def_bot
408,-14.967858204035775,agent4
409,-10.866409216129421,agent_trained_vs_league2
410,7.753231866541292,agent_trained_vs_league2
411,-13.111776526297097,weak_bot
412,9.80254700631989,agent_trained_vs_league2
413,-16.37950603034094,agent_trained_vs_league2
414,-7.973435327397282,def_bot
415,9.191482832985816,agent4
416,4.559484039527124,agent5_shit_agent
417,0.0,agent5_shit_agent
418,-13.2177928841513,agent3
419,0.0,agent_trained_vs_attack_bot
420,-17.989879135597324,agent_trained_vs_attack_bot
421,-11.09683632656035,agent4
422,-1.5692677496736307,agent5_shit_agent
423,-15.546955062209557,weak_bot
424,-11.50727510679409,prev_self
425,-18.418467117323893,agent2
426,-0.04625178279345121,strong_bot
427,-18.877994927214534,weak_bot
428,-11.3019149017251,weak_bot
429,0.0,agent_trained_vs_strong_bot
430,-12.535955941651661,agent_trained_vs_league1
431,-11.344609896832681,atk_bot
432,-20.021234339431743,weak_bot
433,0.0,def_bot
434,-13.172334467190893,agent3
435,-15.167727946656818,strong_bot
436,-12.911039575346877,weak_bot
437,-25.31789549229928,agent_trained_vs_attack_bot
438,8.011991330912007,atk_bot
439,10.0,agent_trained_vs_attack_bot
440,9.341941497694554,agent2
441,0.0,agent2
442,-13.22332656067591,agent3
443,3.735422585383793,atk_bot
444,-12.191717432139457,agent4
445,8.547385293643744,strong_bot
446,-11.409415320500893,agent2
447,-15.815035475999622,weak_bot
448,-10.79194961609371,agent_trained_vs_league2
449,-12.447650296636493,strong_bot
450,9.647086993275083,agent5_shit_agent
451,-5.003613788517856,weak_bot
452,7.782938972301718,agent_trained_vs_strong_bot
453,-11.957958467183438,agent3
454,0.0,agent_trained_vs_defense_bot
455,-14.005259904174356,agent3
456,-12.266353010880229,strong_bot
457,0.0,prev_self
458,-19.465382003110275,agent2
459,-12.388367869237841,atk_bot
460,-8.737139751594787,def_bot
461,-12.472453155802913,agent_trained_vs_league2
462,-13.648258763154292,def_bot
463,-10.219089379107945,strong_bot
464,-13.370201260047303,agent3
465,-11.110653241975053,agent_trained_vs_defense_bot
466,-22.84721279166716,agent_trained_vs_defense_bot
467,9.570094231317459,agent4
468,9.615987093313674,agent_trained_vs_league1
469,-14.199539160676132,weak_bot
470,-10.967621258147826,agent_trained_vs_defense_bot
471,8.601168139692412,atk_bot
472,-29.922141501325186,agent_trained_vs_defense_bot
473,-14.114172848605609,agent3
474,-5.2984057370392375,atk_bot
475,3.312671622621166,agent4
476,-11.169720572047577,agent_trained_vs_league2
477,9.51613161812616,agent_trained_vs_attack_bot
478,0.0,agent_trained_vs_strong_bot
479,-20.327420837893627,agent_trained_vs_league1
480,-10.735477456919648,agent_trained_vs_league1
481,-10.880336543294709,weak_bot
482,6.784792111796879,agent4
483,0.0,agent4
484,-12.6934693489405,agent_trained_vs_league2
485,9.095880760383986,weak_bot
486,-12.11913190222143,weak_bot
